date,open,high,low,close,volume,ma5,volume_ma5,volatility_range_5d,volatility_range_20d,volume_ratio_5d,ma5_acceleration,close_acceleration,volume_ratio_5d_acceleration,up_days_20d,gap_up_ratio_20d
2019-05-21,5305.438,5425.312,5287.306,5418.045,142602880,5415.1682,153277320.4,0.0238118658739192,0.0263579776175393,0.9303586442394514,28.45639999999912,122.73299999999928,0.2996289092885729,0.35,0.4
2019-05-22,5418.241,5451.114,5351.703,5395.429,142023330,5396.9768,152318482.2,0.0242919956513419,0.0264151637544213,0.932410354598452,-28.15479999999934,-127.51199999999972,-0.0299800216590618,0.35,0.4
2019-05-23,5380.413,5380.413,5251.34,5267.826,143600000,5345.087,147895764.4,0.0269748386515932,0.0268073927405363,0.9709541080001342,-33.69840000000022,-104.98700000000008,0.0364920430426812,0.35,0.4
2019-05-24,5230.899,5279.651,5186.872,5200.774,118146768,5319.0446,136374132.0,0.0221225997513964,0.0267610226264668,0.8663429513157231,25.84739999999965,60.55100000000039,-0.143154910086093,0.3,0.4
2019-05-27,5204.42,5359.999,5179.19,5354.634,128155378,5327.3416,134905671.2,0.0240010030554007,0.0273481010960438,0.9499628656085736,34.33939999999984,220.91199999999932,0.1882310709772614,0.35,0.35
2019-05-28,5353.851,5414.644,5332.931,5354.525,139389445,5314.6376,134262984.2,0.0219588033386266,0.0260716724069866,1.0381822348918115,-21.00099999999929,-153.96900000000005,0.0045994549903877,0.35,0.4
2019-05-29,5336.836,5411.079,5329.908,5376.512,122728790,5310.8542,130404076.2,0.0212932620545641,0.026006485850236,0.9411422830968224,8.920599999999467,22.09600000000046,-0.1852593210782275,0.4,0.4
2019-05-30,5357.488,5357.488,5270.892,5341.98,133342170,5325.685,128352510.2,0.0196349281953317,0.0247199735305386,1.0388746569289924,18.61420000000089,-56.51900000000023,0.1947723256271594,0.35,0.45
2019-05-31,5336.692,5384.476,5319.212,5334.247,127940457,5352.3796,130311248.0,0.018514016987013,0.0242537274123821,0.9818067048210604,11.863799999999172,26.799000000000888,-0.1548003259401019,0.35,0.45
2019-06-03,5341.267,5354.693,5235.519,5255.073,140140957,5332.4674,132708363.8,0.0162962308235978,0.0226827122661266,1.056006968868981,-46.606799999999566,-71.44100000000071,0.1312682161558525,0.3,0.5
2019-06-04,5244.731,5249.53,5131.01,5160.976,119113915,5293.7576,128653257.8,0.0178370504018664,0.0225254472399304,0.9258523028244684,-18.797600000000784,-14.923000000000684,-0.2043549300924332,0.3,0.5
2019-06-05,5206.154,5222.865,5148.288,5158.465,108597057,5250.1482000000005,125826911.2,0.0177090250490287,0.021259774265435,0.8630670177334846,-4.899599999998827,91.58600000000116,0.0673693809535288,0.3,0.45
2019-06-06,5149.38,5149.38,5011.756,5030.8,112692560,5187.912200000001,121696989.2,0.0199381883500616,0.0218811335131336,0.926009433271994,-18.626600000000508,-125.15400000000044,0.1257277006294933,0.25,0.4
2019-06-10,5043.331,5112.428,5021.997,5098.938,98524062,5140.8504,115813710.2,0.0210382598954391,0.0204462935077253,0.8507115593642384,15.174199999999471,195.80299999999988,-0.1382402894462653,0.3,0.35
